"Participant","Age","Gender","AttractivenessBias","BAIT","MIST","BRS","AttentionChecks"
"S230",20,"Woman",-0.07,2.42857142857143,0.75,2.9,0.5
"S231",19,"Woman",0.0663888888888889,2.28571428571429,0.375,2.4,1
"S232",19,"Woman",0.163888888888889,3.57142857142857,0.5,2.8,1
"S233",19,"Man",-0.0186111111111111,3.28571428571429,0.625,2.1,1
"S234",21,"Woman",-0.0302777777777778,3.14285714285714,0.375,1.2,1
"S235",20,"Woman",-0.0219444444444444,3.21428571428571,0.25,2,1
"S236",54,"Man",-0.0661111111111111,2.78571428571429,0.5,2.6,1
"S237",19,"Woman",0.0319444444444444,2.85714285714286,0.5,1.9,1
"S238",19,"Woman",0.1575,2.71428571428571,0.5,2.6,0.5
"S239",20,"Man",0.0194444444444445,3,0.25,1.9,1
"S240",19,"Woman",0.0605555555555556,2.35714285714286,0.625,1.1,1
"S241",20,"Woman",0.0819444444444444,3.21428571428571,0.5,2.2,1
"S242",19,"Woman",0.0624999999999999,2,0.625,1.2,1
"S243",20,"Woman",0.0172222222222222,2.5,0.75,3.7,1
"S244",21,"Woman",0.152222222222222,2.71428571428571,0.375,2,1
"S245",19,"Man",0.0972222222222222,1.07142857142857,0.5,1.7,1
"S246",20,"Man",0.0958333333333333,2.14285714285714,0.75,1.4,0.5
"S247",19,"Woman",0.0161111111111111,1.85714285714286,0.5,1.1,1
"S248",19,"Woman",0.148611111111111,2.21428571428571,0.375,1.9,1
"S249",19,"Man",0.0875,2.35714285714286,0.25,1,1
"S250",20,"Woman",0.0208333333333334,2.35714285714286,0.5,2.4,1
"S251",19,"Woman",0.00888888888888895,2.07142857142857,0.5,1.1,1
"S252",20,"Woman",0.0622222222222222,2.35714285714286,0.375,2.5,1
"S253",20,"Man",0.0680555555555556,2.92857142857143,0.25,1.9,1
"S254",20,"Man",0.0241666666666666,2.85714285714286,0.625,1.3,1
"S255",31,"Woman",-0.0658333333333334,2.42857142857143,1,2.7,1
"S256",20,"Woman",0.0325,2.92857142857143,0.75,2.1,0.5
"S257",19,"Woman",-0.0461111111111112,3.57142857142857,0.5,3.6,1
"S258",20,"Woman",-0.0227777777777777,2.92857142857143,0.5,1.1,1
"S259",20,"Woman",0.322777777777778,2.21428571428571,0.5,2.2,1
"S260",19,"Woman",0.118055555555556,3.71428571428571,0.25,2.2,1
"S261",18,"Woman",-0.0197222222222222,2.71428571428571,0.5,2.5,1
"S262",19,"Woman",0.0808333333333333,3,0.25,1,1
"S263",20,"Woman",0.08,2.07142857142857,0.375,1.3,1
"S264",19,"Woman",0.0175,1.92857142857143,0.75,2.5,1
"S265",21,"Woman",0.0697222222222222,3.35714285714286,0.375,2.7,1
"S266",19,"Woman",0.132222222222222,1.42857142857143,0.375,2.7,1
"S267",20,"Woman",0.0508333333333333,2.64285714285714,0.375,3.3,0
"S268",20,"Woman",0.00861111111111112,2.07142857142857,0.5,3.4,0.5
"S269",21,"Woman",0.115833333333333,3.21428571428571,0.375,2.8,0.5
"S270",42,"Woman",0.0513888888888889,2.14285714285714,0.375,2.4,1
"S271",20,"Man",-0.0761111111111111,2,0.5,1.6,1
"S272",21,"Woman",0.0238888888888889,3.5,0.75,2.1,1
"S273",20,"Woman",-0.0155555555555555,2.5,0.5,2.6,1
"S274",19,"Woman",0.165555555555556,3.57142857142857,0.75,1.9,0.5
"S275",19,"Woman",0.116944444444444,2.71428571428571,0.5,1.9,1
"S276",19,"Woman",0.133888888888889,1.42857142857143,0.375,1.7,1
"S277",20,"Woman",0.0186111111111111,3.14285714285714,0.625,2.8,1
"S278",20,"Woman",-0.0361111111111111,3.14285714285714,0.625,3.2,1
"S279",20,"Woman",0.0594444444444445,3,0.625,1.8,1
"S280",22,"Woman",0.129444444444444,1.92857142857143,0.125,3.5,1
"S281",19,"Woman",0.0425,3.14285714285714,0.375,3.4,0.5
"S282",19,"Man",0.0655555555555556,1.92857142857143,0.5,1.7,1
"S283",19,"Woman",0.00388888888888894,3.64285714285714,0.625,3.1,1
"S284",20,"Woman",0.0691666666666667,2.85714285714286,0.5,3.3,1
"S285",20,"Man",-0.0369444444444445,3.14285714285714,0.5,2.9,0.5
"S286",20,"Woman",-0.134166666666667,3.42857142857143,0.875,3.6,0.5
"S287",19,"Woman",0.0572222222222222,1.28571428571429,0.375,1.6,1
"S288",19,"Woman",0.120833333333333,2,0.625,3.3,0.5
"S289",19,"Woman",0.0208333333333333,3.28571428571429,0.375,2,1
"S290",20,"Woman",0.00555555555555554,3.35714285714286,0.5,2.7,1
"S291",23,"Woman",0.0622222222222222,2.57142857142857,0.625,1.2,0.5
"S292",19,"Woman",0.05,2.07142857142857,0.5,1.5,1
"S293",19,"Woman",0.0561111111111111,3.71428571428571,0.625,2.5,0
"S294",20,"Woman",-0.133888888888889,3.42857142857143,0.5,2.9,1
"S295",20,"Woman",-0.00944444444444442,3.07142857142857,0.5,2.7,1
"S296",19,"Woman",0.0519444444444445,1.28571428571429,0.375,1.3,1
"S297",26,"Woman",0.0244444444444444,3.71428571428571,0.5,2,1
"S298",20,"Woman",0.0313888888888889,2.5,0.625,2.6,0.5
"S299",20,"Non-binary",0.0325,1.78571428571429,0.5,1,1
"S300",21,"Woman",-0.0702777777777778,3.35714285714286,0.625,2.2,0.5
"S301",19,"Woman",-0.0458333333333333,2.07142857142857,0.75,1.9,0.5
"S302",20,"Woman",-0.00361111111111112,2.35714285714286,0.25,5,1
"S303",20,"Woman",-0.192777777777778,2.35714285714286,0.625,2.1,1
"S304",20,"Man",-0.0472222222222222,1.78571428571429,0.5,2.2,1
"S305",21,"Woman",0.0372222222222222,1.5,0.375,2.2,1
"S306",19,"Woman",-0.0155555555555555,2.92857142857143,0.5,3.1,0.5
"S307",20,"Woman",0.0533333333333333,3.14285714285714,0.625,2,1
"S308",20,"Woman",-0.00305555555555559,3,0.625,2.6,1
"S309",20,"Man",0.101666666666667,2.78571428571429,0.375,3.4,1
"S310",20,"Woman",-0.0750000000000001,2.57142857142857,0.5,3,1
"S311",22,"Woman",-0.0361111111111111,1.64285714285714,0.625,2.1,1
"S312",20,"Woman",-0.0111111111111111,1.28571428571429,0.625,2.2,1
"S313",22,"Man",-0.081111111111111,2.92857142857143,0.125,1.2,1
